ip,mac
10.10.0.1,00:16:3e:54:f0:54
10.10.0.2,00:16:3e:63:e8:1d
10.10.0.3,00:16:3e:09:e8:78
10.10.0.4,00:16:3e:7f:6b:27
10.10.0.5,00:16:3e:74:72:b6
10.10.0.6,00:16:3e:22:64:d8
10.10.0.7,00:16:3e:38:d6:da
10.10.0.8,00:16:3e:4b:db:6b
10.10.0.9,00:16:3e:7c:ea:7f
10.10.0.10,00:16:3e:6c:59:c0
10.10.0.11,00:16:3e:71:24:ce
10.10.0.12,00:16:3e:51:48:be
10.10.0.13,00:16:3e:2f:14:9e
10.10.0.14,00:16:3e:71:ef:51
10.10.0.15,00:16:3e:63:46:30
10.10.0.16,00:16:3e:6d:11:4d
10.10.0.17,00:16:3e:07:d3:ea
10.10.0.18,00:16:3e:48:f2:c3
10.10.0.19,00:16:3e:3b:e5:04
10.10.0.20,00:16:3e:64:63:3e
10.10.0.21,00:16:3e:7d:ba:fb
10.10.0.22,00:16:3e:7a:bf:be
10.10.0.23,00:16:3e:35:75:52
10.10.0.24,00:16:3e:1c:f9:ec
10.10.0.25,00:16:3e:3b:ad:8c
10.10.0.26,00:16:3e:17:5b:ec
10.10.0.27,00:16:3e:56:ab:42
10.10.0.28,00:16:3e:45:1c:d5
10.10.0.29,00:16:3e:24:e6:44
10.10.0.30,00:16:3e:7b:47:87
10.10.0.31,00:16:3e:3f:2d:26
10.10.0.32,00:16:3e:47:1a:da
10.10.0.33,00:16:3e:5a:50:dc
10.10.0.34,00:16:3e:1c:f6:27
10.10.0.35,00:16:3e:2e:66:15
10.10.0.36,00:16:3e:0d:8b:b2
10.10.0.37,00:16:3e:4f:20:aa
10.10.0.38,00:16:3e:36:13:2d
10.10.0.39,00:16:3e:79:ca:5a
10.10.0.40,00:16:3e:21:97:77
10.10.0.41,00:16:3e:5e:5f:13
10.10.0.42,00:16:3e:5a:37:67
10.10.0.43,00:16:3e:0f:1d:02
10.10.0.44,00:16:3e:0c:0f:b5
10.10.0.45,00:16:3e:19:b0:d6
10.10.0.46,00:16:3e:37:98:9f
10.10.0.47,00:16:3e:01:ca:7f
10.10.0.48,00:16:3e:78:74:c9
10.10.0.49,00:16:3e:0e:27:d1
10.10.0.50,00:16:3e:75:97:0b
10.10.0.51,00:16:3e:5d:91:14
10.10.0.52,00:16:3e:47:00:d3
10.10.0.53,00:16:3e:7e:95:5b
10.10.0.54,00:16:3e:2f:38:d1
10.10.0.55,00:16:3e:6c:ff:e0
10.10.0.56,00:16:3e:4c:56:a7
10.10.0.57,00:16:3e:38:74:9a
10.10.0.58,00:16:3e:2d:06:9e
10.10.0.59,00:16:3e:2b:63:34
10.10.0.60,00:16:3e:05:a5:10
10.10.0.61,00:16:3e:46:74:ae
10.10.0.62,00:16:3e:76:13:26
10.10.0.63,00:16:3e:24:9b:2d
10.10.0.64,00:16:3e:06:24:94
10.10.0.65,00:16:3e:35:f4:9b
10.10.0.66,00:16:3e:2e:b3:0f
10.10.0.67,00:16:3e:2a:e2:db
10.10.0.68,00:16:3e:70:33:8a
10.10.0.69,00:16:3e:16:9c:73
10.10.0.70,00:16:3e:17:eb:5c
